file	label	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity	soe
baca-read.wav	v	0.1	123.18825790809085	393.84	1439.222	2324.691	102.61845936674285	100.59495310187032	92.12141535484558	80.0352511010041	80.0604909770188	74.72926082287914	73.2710696197884	65.12848532261278	103.5695893903471	105.1091122629361	98.01666883757194	100.79680046389583	88.42748719628283	69.7688498516407	39.1004750060712	44.882190128916896	77.88216277823584	2.0235062648725375	8.473537747024736	22.583208265738747	22.557968389724053	27.889198543863714	8.142584297175631	-1.5395228725889893	7.092443425364152	2.7727889264512697	15.142102194064279	33.80073953870641	15.379	7.5174912117545265	4.772799042105644	4.632919375999681	4.613577673516224	72.57109603776593	0
 baca-read.wav	v	0.101	123.16145976135736	397.667	1421.18	2309.517	102.63485139168388	100.6927238214963	91.61989777727146	79.84820053652393	79.69623056995113	74.5701776866349	73.2710696197884	65.12848532261278	103.5695893903471	105.1091122629361	98.01666883757194	100.79680046389583	88.42748719628283	69.7688498516407	38.77968812759782	44.58923132752887	76.99237496433564	1.94212757018758	9.07282604422484	22.786650855159948	22.938620821732755	28.064673705048975	8.142584297175631	-1.5395228725889893	7.092443425364152	2.7727889264512697	15.142102194064279	33.80073953870641	18.13	9.56277980077285	6.9613050968837715	6.849682191753912	6.8295245144697585	72.91866933134865	0
 baca-read.wav	v	0.102	123.13590459698632	401.411	1395.584	2305.316	103.52254480582799	101.46873761156428	93.64727079936249	81.33052203084023	79.72493591579197	75.8523299353586	72.26370551482134	63.70592540153553	104.4426017077525	105.7967881751853	100.56116584355149	102.46884272567335	88.8925405835603	70.80956906951282	38.48169068200069	44.197420880822	76.74383124760351	2.0538071942637117	7.821466812201791	22.192022774987763	23.797608890036017	27.670214870469394	8.557780113285808	-1.3541864674327968	5.235622331633806	1.973758982079147	15.550061124192197	33.63303263823968	17.213	10.07591983125845	7.8834950744556265	7.765858754625617	7.746676383088259	73.2503904932834	0
 baca-read.wav	v	0.103	123.10691469830395	405.237	1365.526	2316.933	103.5365395589883	101.55328023624611	93.09459647959203	81.13256849819405	79.23902009098445	76.5257609028604	72.26370551482134	63.70592540153553	104.4426017077525	105.7967881751853	100.56116584355149	102.46884272567335	88.8925405835603	70.80956906951282	38.19292661606956	43.769648434585285	77.41067179144797	1.9832593227421853	8.458683756654082	22.403971060794248	24.29751946800384	27.010778656127897	8.557780113285808	-1.3541864674327968	5.235622331633806	1.973758982079147	15.550061124192197	33.63303263823968	17.046	10.31102087663985	8.034512366840197	7.911416965438708	7.895056202695895	73.57280161658922	0.02942078074158425
 baca-read.wav	v	0.104	123.07341660526444	409.521	1339.335	2341.318	104.30833792947787	102.2780111740799	94.5436628358062	82.26626538521346	79.18926310793105	78.30108611315417	71.01427185977428	62.150481346727	105.19871403371718	106.4286327368738	102.63621736520179	103.81457591163564	89.31169285310561	71.74084314274127	37.88873861058076	43.42318764928188	78.8359943243269	2.0303267553979794	7.734348338273691	22.042072544264414	25.119074821546818	26.007251816323702	8.863790513047284	-1.2299187031566134	3.792415371672007	1.3841381220815379	15.887021180611569	33.45787089097591	17.981	10.377719849307534	8.206502449542034	8.085724232440041	8.068503097992647	73.88664057345818	0.02942078074158425
 baca-read.wav	v	0.105	123.03559545102566	414.643	1324.208	2368.158	104.32794170425396	102.39013176772508	93.80008273925522	82.0375911175514	78.79455722831464	78.93418100784791	71.01427185977428	62.150481346727	105.19871403371718	106.4286327368738	102.63621736520179	103.81457591163564	89.31169285310561	71.74084314274127	37.55191921049586	43.23194576697295	80.43471322922427	1.937809936528879	8.590049028469863	22.29035058670256	25.533384475939314	25.393760696406048	8.863790513047284	-1.2299187031566134	3.792415371672007	1.3841381220815379	15.887021180611569	33.45787089097591	18.815	9.737203438792587	7.961349787670333	7.854809690158074	7.837903120510603	74.19249339370376	0
 baca-read.wav	v	0.106	122.99577478366503	420.609	1320.52	2388.868	104.98456581682159	103.10262431418379	94.75495197899498	82.92345451398025	78.77540221759267	79.74618329790205	69.99518972785594	61.06481280071535	105.83202318308861	107.01159052851354	104.46747378864552	104.9393881950941	89.60659728598337	72.30890586200846	37.196446196355275	43.182683483039206	81.68704583423684	1.881941502637801	8.347672335188804	22.06111130284134	26.209163599228916	25.238382518919536	8.930376927140593	-1.1795673454249282	2.5441167398680165	0.8926349879945121	16.22542589710524	33.52311732108015	16.741	10.045308175934867	8.135323008911438	8.03581815591726	8.022127683309808	74.4891673613686	0
 baca-read.wav	v	0.107	122.95876531497207	427.046	1324.288	2401.224	105.49624695788738	103.75182541161203	95.39357297356085	84.15290906873796	79.07929347805872	81.71495644838197	70.33965230191275	61.15266154356065	106.31889559041247	107.52575902197356	106.0889604141361	106.40432697766241	90.16548666839782	74.36683157780516	36.85716082353986	43.2232278901787	82.43971493091168	1.7444215462753476	8.358252438051181	21.343337889149424	26.416953479828663	23.78129050950541	9.186990758352103	-1.2068634315610893	1.43679860783746	-0.08543138724994037	16.15340892201465	31.95206401260731	19.357	10.091752120285866	8.293274926490522	8.199028328474903	8.183934782835612	74.7762942400628	0
 baca-read.wav	v	0.108	122.92561826020398	433.539	1331.866	2407.089	105.52050174955363	103.88180313983581	94.34270199069184	83.93308321321915	78.86540900350589	81.42195603404569	70.33965230191275	61.15266154356065	106.31889559041247	107.52575902197356	106.0889604141361	106.40432697766241	90.16548666839782	74.36683157780516	36.56079514419754	43.311444845605436	82.79545517328722	1.6386986097178209	9.539101149143974	21.587418536334482	26.655092746047742	24.09854571550794	9.186990758352103	-1.2068634315610893	1.43679860783746	-0.08543138724994037	16.15340892201465	31.95206401260731	21.628	10.487607121571745	8.249155226540578	8.1350039945021	8.131619006899232	75.05558505068723	0
 baca-read.wav	v	0.109	122.89640851715492	439.839	1341.523	2408.905	105.89258362498832	104.46290127199954	94.65990270028507	85.14678899516711	80.09226841919669	83.19606070977427	72.07924645744204	62.86371383166167	106.66826453601531	107.98673140616663	107.49823438204054	107.81608781712814	91.57189686625435	76.54415863443296	36.316644516145665	43.42840938799609	82.9013072361197	1.4296823529887774	9.802998571714468	20.745794629821205	25.800315205791634	22.696522915214047	9.21553262578037	-1.3184668701513118	0.4884970241260902	-1.1478232811128208	15.096367669760966	30.124105901582354	24.068	11.18814945486442	9.308439259955835	9.23704586829573	9.221601138414567	75.32666546469673	0
